,text
797,"DOD Pilot and Pathfinder  Efforts Provided Additional  Information to the  Wideband AOA Study  Team The Air Force and Defense Information Systems Agency conducted  interrelated pilot and pathfinder studies before and during the Wideband  AOA that provided information on SATCOM business arrangements, user  terminal prototyping, and acquisition efficiencies.
The Wideband AOA report  identified three of the 11 potential architectures that would best meet  DOD’s wideband SATCOM needs: Legacy Purpose-Built and Commercial Contracting Architecture -  Procure and field a new purpose-built constellation for X and Ka-band  capabilities with anti-jam technologies and upgraded antennas.
According to officials we spoke with  from various DOD organizations involved in the Wideband AOA and  SATCOM acquisitions, they have work ongoing that provides relevant  information, including Air Force pathfinders and a study of ground  infrastructure supporting WGS.
However, these officials told us that there  is no formal plan to guide post-AOA efforts including coordinating and  providing the knowledge DOD needs to mitigate risks and inform timely  decisions on DOD’s next wideband communications architecture."
798,"Methodology DOD Uses to  Calculate Improper  Payment Amounts and  Rates To comply with IPIA and OMB requirements, and in response to our prior  recommendations, DFAS updated its statistical sampling plan in fiscal  year 2017 to develop and report improper payment estimates for DTS.
DOD Has Taken  Steps to Implement  Its Remediation Plan,  but Its Approach May  Not Manage Risk  Sufficiently, Many  Actions Remain  Incomplete, and  Communication of  Requirements Was  Lacking DOD established and has taken steps to implement a Remediation Plan  aimed at reducing improper travel payments that includes specific  requirements for all DOD components as well as a committee to monitor  the efforts of 10 components that DOD identified as key to addressing  improper travel payments.
Specifically, it stated that the military services, defense  agencies, DOD field activities, Joint Staff, and combatant commands  must each designate in writing a Senior Accountable Official (SAO)  responsible for implementing the plan’s requirements for that component,  train travelers and approving officials, issue guidance on holding  approving officials pecuniarily liable for improper travel payments, and  prepare component-specific remediation plans and identify corrective  actions, among other things.
First, a 2016 DODIG report on improper  travel payments presented the results of a DFAS review of DTS vouchers  for 58 DOD components for July through December, 2014, including 48  components not represented on DOD’s SAO committee.
Further, these components indicated that their SAOs  had completed some required steps, such as issuing guidance to ensure  that front-end internal controls were in place to prevent improper travel  payments; reviewing training plans to determine their effectiveness in  preventing improper travel payments; and providing initial or refresher  training to all travelers and approving officials, among other actions.
At the meeting,  the DOD Deputy Chief Financial Officer, serving as the chair of the  committee, emphasized that components needed to document progress  in order to demonstrate that the department was working toward  identifying root causes and implementing corrective action plans to  prevent and reduce improper travel payments."
799,"Some  of the steps the Coast Guard has taken align with leading practices for  managing public sector backlogs and key practices for managing risks to  critical infrastructure, including identifying risks posed by the lack of timely  investment, identifying mission-critical facilities, disposing of unneeded  assets, and beginning an assessment of shore infrastructure  vulnerabilities.
Without a complete understanding of both the vulnerabilities of its  infrastructure and the consequences to its mission operations if its  infrastructure is damaged, the Coast Guard risks questionable  recapitalization investments for improving resilience when selecting  projects to fund."
800,"To produce these subpopulation indexes, BLS adjusts the relative  importance of price changes in each good and service through a process  sometimes referred to as “reweighting,” meaning BLS develops alternate  sets of expenditure weights that reflect the spending patterns of the  subpopulation.
BLS officials acknowledged that updating the weights more frequently  would make the index more relevant, though they did not believe using  the Consumer Expenditure Survey to do so was practical in part because  they said it would require additional costs to increase the sample size.
Australia, New Zealand, and the United Kingdom are all using their  National Accounts data to supplement expenditure survey data in their  CPIs, while New Zealand is also using another form of government- collected administrative data to improve its CPIs. International Guidance for Calculating CPIs and Subpopulation  Indexes  The International Labour Organization produces a manual that provides  an overview of issues that national statistical offices can consider when  making decisions on how to deal with the various problems in the  compilation of Consumer Price Indexes.
Australia’s statistical agency uses consumption data from  their National Accounts to update the CPI expenditure weights more  frequently than officials said was previously possible.
In 2018, the Australian statistical agency incorporated  National Accounts data in the CPI in those years when the  expenditure survey was not conducted, allowing the expenditure  weights to be updated annually to reflect what statistical agency  officials described as more timely and relevant consumption patterns  and to improve the accuracy of the data.
By incorporating consumption data from the National Accounts,  Australian statistical agency officials said they can generate more  timely and relevant CPI measures, including the subpopulation  indexes.
New Zealand’s statistical agency also uses National  Accounts data to estimate expenditure weights for insurance services,  which are relatively difficult to measure in survey data, according to  agency officials."
801,"Officials of both OFAC and Treasury’s Office of the Assistant  Secretary for Management cited three primary challenges in hiring  candidates with the necessary qualifications: Competition with other agencies, including those in the intelligence community, which can use direct-hire authority to expedite the hiring process Competition with the private sector, which offers higher salaries The time required for security clearance processing, which delays hiring for positions, such as sanctions investigators, who need a special sensitive investigation that must be adjudicated at the top secret/sensitive compartmented information levelTreasury does not currently have direct-hire authority for OFAC but can  use other authorities to address hiring challenges.
Agencies Provide  Information on  Sanctions Activities  and Expenses in  Selected Mandated  Reports OFAC and State each prepare and submit reports in response to the  requirements of the IEEPA and the NEA.
OFAC’s NEA-mandated reports generally include information on  expenditures reported by Treasury and State and by any other agencies  identified in the relevant executive order.
OFAC’s Mandated NEA  Reports Include Expenses  for Agencies with Roles in  Sanctions Implementation,  while State’s Have  Reported No Expenditures IEEPA Reporting on Sanctions  Activities Both OFAC and State include information on actions taken to implement  sanctions programs in response to the requirements of the IEEPA.
Key agencies that implement  sanctions have generally received steady or growing resources in recent  years, but Treasury and State have staffing gaps and face challenges in  securing the staff needed to fill their authorized positions.
We reviewed agency performance reports and annual reports  and interviewed agency officials representing Treasury, State, and  Commerce units that focus primarily on sanctions implementation, to  identify any additional information the agencies had that could measure  changes in agency workload over time."
802,"Programs in breach  are required to notify their acquisition decision authority and develop a  remediation plan that outlines a timeframe for the program to return to its  APB parameters, re-baseline—that is, establish new schedule, cost, or  performance goals—or have a DHS-led program review that results in  recommendations for a revised baseline.
DHS leadership approved revised baselines for these five programs  following various actions by the program offices such as: Customs and Border Protection’s Automated Commercial  Environment breached its cost and schedule goals in April 2017,  which Customs and Border Protection officials attribute to an  underestimation of the level of effort needed to complete  development.
U.S. Coast Guard’s Polar Security Cutter met established cost and  schedule milestones between January 2018 and August 2019, but  program officials stated that they anticipate a schedule slip because  delivery of the lead ship in the awarded contract is two months after  the program’s APB threshold date.
ACE continued deployment of the Core functionality and updated acquisition  documents including the program’s acquisition program baseline (APB) and life-cycle  cost estimate (LCCE) to reflect the program changes.
In May 2018, the Department of Homeland Security (DHS) leadership approved BEE’s  initial acquisition program baseline (APB) which established the cost, schedule, and  performance parameters for the air segment.
The Department of Homeland Security (DHS) plans to establish cost, schedule, and  performance goals for each individual segment of the border wall system in separate  acquisition program baselines (APB) as funding becomes available.
05/19 FY 2018 APB revised/ FY19 initial APB approved 03/23 FY 2018 segments full operational capability (FOC) Customs and Border Protection (CBP) In November 2017, the Science and Technology Directorate’s Office of Systems  Engineering completed a technical assessment on the program and identified risks  related to the integration and operation of enforcement zone technologies—such  as cameras and sensors—which had not been clearly defined or planned for within  the wall system.
CBP officials told GAO that the program  experienced delays in updating the acquisition documents—including the operational  requirements document—for the detection capability as a result of continued work  with stakeholders.
The program declared a potential schedule breach in December 2017 because the  program did not receive funding from the Department of Homeland Security (DHS)  to address new IFT requirements, including camera upgrades and replacement of  existing tower systems deployed in Tuscon and Ajo under a legacy program.
In January 2015, Border Patrol requested the program prioritize replacing  these legacy systems because the technology was obsolete and more expensive to  maintain than IFT technology planned for deployment in other AoRs. 10/15 Initial operational  capability (Nogales) Customs and Border Protection (CBP) INTEGRATED FIXED TOWERS (IFT) Previously, the OTA found that the program met only 2 of its 3 KPPs and experienced  five operational deficiencies during a limited user test conducted in the Nogales  AoR in November 2015.
To mitigate capability gaps  resulting from the tower reduction, Border Patrol requested the program deploy two  additional IFT camera suites in Ajo. DHS leadership directed CBP to develop a border technology plan that includes IFT  capabilities.
The program previously experienced cost increases after  accommodating a change in DHS’s appropriations structure and schedule slips  because of a directive from DHS to develop a comprehensive border plan, which  contributed to delays in getting approvals for some of the documents required for  ADE 3.
The updated LCCE also removes personnel costs included in the  program’s initial APB, which CBP officials previously told GAO are funded through a  separate, central funding account for all of CBP’s air and marine assets.
In February 2019, Department of Homeland Security (DHS) leadership approved a  revised acquisition program baseline (APB), which increased the program’s quantity  to 29 MEA: 16 previously approved maritime interdiction MEA and 13 additional air  interdiction MEA.
However, in April 2019, DHS leadership directed CBP  to complete follow-on operational test and evaluation (OT&E) of the air interdiction  configuration and undergo an acquisition decision event (ADE) 3 review before the  program could receive full-rate production approval.
CBP officials told GAO that they are developing acquisition  documentation to inform acquisition decision event 1 for the follow-on NII program  planned for September 2019, including a concept of operations and an initial cost  estimate.
CBP officials previously told GAO the program anticipated conducting its ADE 2A  and obtaining DHS leadership approval for an acquisition program baseline (APB)  establishing cost, schedule and performance goals for the expanded program by  December 2018.
In May 2019, CISA officials said the program is updating key acquisition documentation,  such as its acquisition program baseline (APB) and LCCE, to inform acquisition  decision event (ADE) 2B for Data Management Protection capabilities.
In June 2019, CISA officials  stated they were working on enhancements to address E In January 2018, DOT&E determined that it was too soon to assess block 2.2 based  on the OA results from October 2017, but noted block 2.2 was at risk of not meeting  user needs and made a number of recommendations, including reviewing the ORD  and CONOPS and repeating the OA before conducting initial OT&E.
In September 2019, Department of Homeland Security (DHS) leadership granted  the program approval of acquisition decision event (ADE) 3 and acknowledged the  program’s achievement of full operational capability (FOC).
FEMA initially deployed the enhanced LSCMS in 2013  without DHS leadership approval, a DOT&E letter of assessment, or a DHS-approved  APB documenting the program’s costs, schedule, and performance parameters, as  required by DHS’s acquisition policy.
In March 2018, Department of Homeland Security (DHS) leadership approved the  program’s revised acquisition program baseline (APB), removing it from breach status,  which USCG officials primarily attributed to underestimating the technical effort  necessary to meet requirements.
In July 2019, USCG  officials said they do not plan to update the program’s APB for the upcoming ADEs  because the program is on track and does not require changes to its cost, schedule,  or performance goals.
In April 2019, Department of Homeland Security (DHS) leadership approved a change  to the program’s current acquisition program baseline (APB) to adjust the program’s  schedule milestones as a result of the fiscal year 2019 partial government shutdown.
In January 2018, Department of Homeland Security (DHS) leadership approved the  program’s initial acquisition program baseline (APB), establishing cost, schedule, and  performance goals.
DHS policy establishes that all major  acquisition programs should have a department-approved APB, which  establishes a program’s critical cost, schedule, and performance  parameters, before they initiate efforts to obtain new capabilities."
803,"For example, the FBI drafts privacy documentation for its face recognition  capabilities, and DOJ offices review and approve key documents  developed by the FBI—such as PIAs and SORNs. DOJ and FBI Have  Taken Steps Since  May 2016 to Better  Ensure Privacy but  Work Remains to  Fully Address Prior  Recommendations DOJ Has Taken Steps to  More Quickly Publish  Privacy Impact  Assessments but Has Not  Fully Implemented Its  Revised Process We reported in May 2016 that the FBI did not (1) update the NGI-IPS PIA  in a timely manner when the system underwent significant changes, or (2)  develop and publish a PIA for FACE Services before that unit began  supporting FBI agents.
We concluded that by conducting an  operational review of these systems, FBI officials would obtain  information regarding what factors affect the accuracy of the face  recognition searches, such as the quality of the photos in the database,  and if NGI-IPS is meeting federal, state, and local law enforcement  needs.
As a result, we recommended the FBI conduct an operational  review of NGI-IPS, at least annually, that includes an assessment of the  accuracy of face recognition searches and take actions, as necessary, to  improve the system."
804,"In a 2015 report on FHLBank board governance, we found that FHFA and  FHLBanks had taken steps to increase board diversity, including creating  regulations that encouraged the banks to consider diversity in board  candidate selection and developing processes to identify and nominate  independent directors.
In May 2015, FHFA amended the 2010 rule and added two reporting  requirements for the annual reports: (1) data on gender and race/ethnicity  of board directors (which the directors would voluntarily self-report), and  (2) information on the banks’ outreach efforts (such as to promote  diversity when nominating and soliciting director candidates).
FHFA staff said in preparation for their 2017 FHLBank board  analysis, they informally monitored the gender and minority status of the  additional independent director seats filled by the seven banks that  accepted the offer.
As allowed by FHFA regulation, FHLBanks varied in the data collection  forms they used, questions they asked, and methods they used to  distribute forms to board directors to obtain self-reported gender and  race/ethnicity information.
FHFA has implemented some efforts on improving the quality of the data  FHLBanks report to the agency, but FHFA staff told us that such efforts  have not included a review of how the banks collect board director  demographic data.
Recommendation for  Executive Action The Director of FHFA’s Office of Minority and Women Inclusion, in  consultation with FHLBanks, should conduct a review on each bank’s  processes for collecting gender and race/ethnicity data from boards of  directors and communicate effective practices to FHLBanks."
805,"Billing: FDA’s process related to quarterly tobacco user fee billing  includes procedures to ensure the invoices it creates for individual  tobacco manufacturers and importers are complete and accurate—based  on CTP’s market share percentages calculated using the monthly excise  tax data submitted to FDA by manufacturers and importers—and mailed  in a timely manner.
As designed, the year-end reconciliation  includes steps for FDA to compare the  information the agency used to calculate  quarterly user fees with independent  information obtained from TTB and CBP on  the individual tobacco manufacturers and  importers who paid tobacco excise taxes (to  ensure FDA has a complete list of those who  should pay user fees) and the amounts paid  (to ensure FDA used the right amounts to  calculate market share and user fees).
FDA officials stated that FDA can apply necessary  market share adjustments to individual user fee assessments in a  subsequent quarterly invoicing cycle, or after the agency completes its  year-end reconciliation process based on annual tax data from TTB and  CBP."
806,"Given DOT’s authority to oversee certain aspects of the industry, we  made four recommendations to DOT in 2017 to increase transparency  and obtain information to better inform their oversight of the air  ambulance industry: (1) communicating a method to receive air  ambulance complaints, including those regarding balance billing; (2)  taking steps to make complaint information publicly available; (3)  assessing available federal and industry data to determine what  information could assist in the evaluation of future complaints; and (4)  considering consumer disclosure requirements for air ambulance  providers, such as established prices charged and the extent of  contracting with insurers.
For example, one air ambulance provider told us that one  way it evaluates the need for a new base in an area is to ask hospitals in  that area about the number of transports they typically require and the  length of time it takes helicopters to arrive to pick up patients."
807,"When patients use these take-back options, the drugs they  dispose of are ultimately incinerated, which is the only method that DEA  officials said is known to render the drugs non-retrievable, that is,  permanently and irreversibly destroyed.
Studies indicate that patients who receive an in-home disposal product  may be more likely to dispose of unused opioids, but they may also be  less likely to use federally recommended options like take-back or  flushing."
808,"DOD has not fully implemented seven of our recommendations related to  its supply chain challenges: Revise sustainment plans: In October 2017, we reported that DOD’s  reactive approach to planning for and funding the capabilities needed  to sustain the F-35 resulted in significant readiness challenges— including delays in the establishment of part repair capabilities at the  depots—and placed DOD at risk of being unable to leverage the  capabilities of the aircraft it had purchased.
Conduct a comprehensive review of the F-35 supply chain: While  DOD had ongoing efforts to increase the availability of spare parts, we  found in April 2019 that DOD would likely continue to face challenges  because the program was not planning for the quantity of parts  necessary in its spare parts projections to meet warfighter  requirements.
DOD has not fully implemented 10 of our recommendations related to  these issues: Develop a long-term Intellectual Property strategy: In September  2014, we reported that DOD had not identified all of the technical data  it needs from the contractor, and at what cost, to enable competition  of future sustainment contracts, which put the program at risk of not  having the flexibility to make changes to its sustainment strategy."
809,"Exempt Organizations  Examination staff developed many of the queries, based on information  collected on the Form 990 after it was redesigned for tax year 2008,  according to TE/GE officials.
Although the models screen for  examination status and statute of limitations, a TE/GE official said the  classifier also checks whether the statute of limitations date is near and  whether the organization recently had undergone an examination or  compliance check, as well as whether the return was identified under  another selection method.
Processing Queries for the  Model Did Not Always Produce  Quality Information We found several issues with TE/GE’s processing of queries in the Form  990, 990-EZ and 990-PF models that affect the validity or reliability of the  scores that the models generate to rank returns for examination selection  (see figure 7).
On the other hand, TE/GE did not provide similar start-to-finish  documentation on processing quality information from other examination  sources that use data outside of the models; examples include research  projects under the Data Driven Approaches portfolio and projects that use  queries under the Referrals and Other Casework portfolio (see table 1).
Recommendations for  Executive Action We are making the following 13 recommendations to IRS:  The Commissioner of Internal Revenue should document measurable  objectives for using data in selecting exempt organization returns for  examination.
(Recommendation 4) The Commissioner of Internal Revenue should more fully document how  TE/GE processes data and uses data to make examination selection  decisions for sources outside of the model such as research projects and  other projects that use queries.
(Recommendation 6) The Commissioner of Internal Revenue should establish a process for  regularly evaluating selection decisions and related outcomes for the  models and other processes that use data to select returns for  examinations.
(Recommendation 12) The Commissioner of Internal Revenue should document why TE/GE has  not identified any risks in its risk register for using data to select exempt  organization returns for examination.
In addition, although IRS agreed with our recommendation to more fully  document how TE/GE processes and uses data to make examination  selection decisions outside of the model (Recommendation 5), IRS said  that it would provide documentation on a project (other than compliance  strategies) that is approved by the Governance Board.
To assess the use of data to select tax-exempt organization returns for  examination, we reviewed data from the Internal Revenue Service’s (IRS)  Returns Inventory and Classification System (RICS) for fiscal years 2016  to 2019.
To inform this work, we reviewed  recent TE/GE contractor assessments of exempt organization  examination selection and the Form 990 model."
810,"American Samoa has a combined land area of 76 square miles, slightly  larger than Washington, D.C. Approximately 98 percent of the population of American Samoa lives on  the main island of Tutuila, and most economic activity (including tuna  canning) and government operations take place in and around the harbor  of the capital city, Pago Pago, on Tutuila (see fig.
In addition to increased competition and labor  market challenges, the industry faces other challenges, such as lower  wages relative to those in American Samoa for cannery workers in other  tuna-exporting countries.
According to an industry official, one prominent tuna exporting  country offers wages as low as $10 dollars per day, whereas a full- time worker in 2020 at the cannery in American Samoa would earn  over $44 per day.
According to data provided by  StarKist Samoa, most cannery workers in American Samoa would be  impacted by a minimum wage increase.
Both expressed concerns about the reliance of American  Samoa’s economy on the tuna canning industry and the potential  negative impact of minimum wage increases on the remaining cannery in  American Samoa.
Such a  study was beyond the scope of this report, which focused on (1)  economic trends including changes in employment and earnings since  the minimum wage increases in American Samoa began in 2007, (2) the  status of the tuna canning industry, and (3) stakeholder views on the  minimum wage increases.
To examine stakeholder views on the minimum wage  increases, we conducted interviews with officials from the American  Samoa government and American Samoa Chamber of Commerce, and  employers and workers from the public and private sectors.
To estimate employment and earnings for non-cannery workers in the  private sector, we relied on individual-level tax data that we obtained from  the American Samoa Departments of Commerce and Treasury.
In accordance with other federal employment surveys and with  our employer questionnaires for our 2010, 2011, 2014, and 2016 reports  on the impact of minimum wage increases in American Samoa, our  employer questionnaire requested employment and wage data for mid- June pay periods in 2016, 2017, and 2018 from American Samoa’s tuna  canning industry—in this case, the territory’s one remaining cannery,  StarKist Samoa.
During our fieldwork trip to  American Samoa in October 2019, we conducted interviews with  government officials, employers, other private sector representatives, and  workers to obtain views and information on the minimum wage increases."
811,"Specifically, for contracts or agreements with private entities, the  provisions of the act state, in part:  in general, for major disaster assistance activities, agencies shall  provide a preference, to the extent feasible and practicable, to  organizations, firms, and individuals residing or doing business  primarily in the area affected by the major disaster or emergency;  they may be set aside for local vendors, which means that only  vendors residing or primarily doing business in the declared  disaster area are allowed to compete for an award;  those not awarded to local vendors shall be justified in writing in  the contract file.
Additionally,  FEMA officials from the Recovery Support Function Leadership  Group’s Program Management Office stated that they use the NIA  code to track government-wide contracting related to recovery efforts.
When we  requested supporting documentation and analysis, DHS OCPO  officials provided some correspondence with FEMA but did not  provide government-wide data analysis to identify what other  agencies were awarding and executing contracts related to these  events.
Moreover, DHS OCPO officials were unable to provide data analysis  conducted using available data from prior events to determine historical  patterns in federal contracting obligations for disasters prior to closing the  codes for Hurricanes Harvey and Irma.
Agencies We Reviewed  Experienced Challenges  Contracting with Local  Vendors Steps to Implement Local Vendor  Preference, as Outlined in the Post-Katrina  Emergency Management Reform Act and  the Federal Acquisition Regulation (FAR)  Step 1: Identify the set-aside area in  accordance with FAR § 26.202-1—Local Area  Set-Aside and § 6.208—Set-asides for Local  Firms During a Major Disaster or Emergency  Step 2: Conduct market research to  determine whether there are qualified vendors  in the set-aside area.
Contracting officials responsible for these debris removal  contracts stated they were not aware of a policy or regulation for how to  identify the geographic area for a local area set-aside, but that their office  had internally determined the use of congressional districts impacted by a  disaster to be the preferred method.
Without  additional guidance or related training, contracting officers may be  unaware of how to define the geographic area for a local area-set aside in  accordance with regulation and may miss opportunities to support  improving the local economies of disaster impacted areas by giving  preference in awarding contracts to local vendors to the extent feasible  and practicable, per the Stafford Act. Regulation for Determining  Whether a Vendor Resides or  Primarily Does Business in the  Set-Aside Area Presents  Challenges Despite contracting officers having a high degree of discretion to  determine that an offeror qualifies as a “local firm,”—that is, a firm that  resides or primarily does business in the designated set-aside area— contracting and legal officials at both FEMA and USACE told us they  were unsure what or how much information is sufficient to determine that  an offeror qualifies as a local firm under the FAR.
Interagency Contracting  Coordination Challenges  within the Mission  Assignment Process  Remain As the federal disaster coordinator, FEMA obtains requirements from  states and localities and tasks the appropriate federal agencies, based on  their emergency support function, through the mission assignment  process.
According to  USACE officials, they relied on FEMA, the lead for coordinating  federal disaster response, to manage communication with states and  localities and to identify and manage expectations about the scope of  work to be performed using their debris removal contracts."
812,"As of March 2019, no agency in the federal government was required to  publicly report comprehensive and timely data on political appointees  serving in the executive branch.
According to  Interior’s new Designated Agency Ethics Official (DAEO), the June 2018  update to Interior’s review process was implemented in response to  deficiencies within its financial disclosure program.
Our review of agency documentation, including SBA’s informal  documentation, found that political appointees completed required initial  ethics training on time.
(Recommendation 3) Agency Comments  and Our Evaluation We provided a draft of this report for comment to the Department of  Justice (DOJ), the White House Counsel’s Office at the Executive Office  of the President (EOP), the Department of Health and Human Services  (HHS), the Department of the Interior (Interior), the Inspector General of  the Department of the Interior (OIG), the Office of Government Ethics  (OGE), the Office of Personnel Management (OPM), and the Small  Business Administration (SBA).
SBA officials provided  documentation to support that they have taken initial steps to address our  recommendation to implement procedures to track and verify completion  of initial ethics training by political appointees.
Appendix I: Objectives, Scope, and  Methodology Our objectives were to evaluate the extent to which (1) existing data  identify political appointees serving in the executive branch at any point in  time, and (2) selected agencies use appropriate internal controls to  reasonably ensure that their ethics programs are designed and  implemented to meet statutory and regulatory requirements."
813,"Limited Registration  Verification and Risk  Management Hinder  FAA’s Ability to Prevent  Fraud and Abuse FAA generally accepts certification by applicants of their eligibility and  aircraft ownership and performs limited review of applicant information to  identify potential fraud or abuse.
In our case studies and interviews with FAA, we identified examples of  fraudulent registrations and potential abuse of the registry that occurred  within the context of FAA’s current practice of limited verification and  review of applicant information.
Use of Opaque Ownership  Structures in Aircraft  Registrations Provides  Opportunities for Abuse Individuals or entities may use opaque ownership structures—a legitimate  means to register aircraft—to disguise potential ineligibility or hide illicit  activity, according to our illustrative case and intermediary research, and  interviews with FAA and law-enforcement officials.
Although  the use of opaque ownership structures, intermediaries, and registered  agents can serve legitimate purposes, they can also be abused in the  context of aircraft registration to disguise potential ineligibility or hide illicit  activity, according to our analysis of registry data and research.
According to our review of registry documents for  this case, an intermediary registered the aircraft in 2010 using a  noncitizen trust, providing limited information about the corporate trustor,  whose beneficial owner was a high-net-worth foreign national.
By not collecting and recording PII at the time of application and  renewal, FAA has limited assurance of registrants’ eligibility, and lacks  information that could support its oversight and law-enforcement officials’  ability to identify relevant persons and entities as part of investigations  involving registered aircraft.
By not collecting and  recording information on beneficial owners in an electronic format that  facilitates data analytics, FAA has limited assurance of registrants’  eligibility, and lacks information that could support its oversight and law- enforcement officials’ ability to identify relevant persons and entities as  part of investigations involving registered aircraft.
Additionally, one FAA LEAP agent told us  that he reviews aircraft registrations filed the previous day and checks  them against other information sources to determine suspicious activity,  sharing leads identified through this analysis with law-enforcement  officials for further investigation.
Our intermediary research  identified an aircraft registered to a company whose sole stockholder was  subject to U.S. sanctions; however, FAA currently stores data on foreign  stockholders of U.S. citizen corporations that use voting trusts in PDF  records, preventing it from being able to conduct data analysis to identify  such individuals or entities for all registrations.
According to  2017–2018 analysis of information from declarations of international  operations with checks against flight history data, FAA SEIT identified  patterns of activity that could be used in support of safety and law- enforcement investigations, as discussed later in this report.
To demonstrate how FAA could identify registrations with indicators of  potential fraud or abuse that may enable criminal activity, national  security, and safety risks, we analyzed aircraft registry and related data.
Specifically, we analyzed aircraft registry data from publicly available and  ancillary files, as well as matched registry data against other datasets to  identify (1) registrations using registered agent address, (2) registrations  using opaque ownership structures, (3) aircraft registration addresses  located in countries identified by the Department of State as associated  with major illicit drug production and money laundering, (4) OFAC data on  individuals and entities subject to U.S. sanctions, and (5) NTSB safety  accident and incident reports.
(Recommendation 7) The Administrator of FAA should ensure, as part of aircraft registry IT  modernization, that information currently collected in ancillary files or in  PDF format on (1) owners and related individuals and entities with  potentially significant responsibilities for aircraft ownership (e.g.,  beneficial owners, trustors, trustees, beneficiaries, stockholders,  directors, and managers) and (2) declarations of international operations  is recorded in an electronic format that facilitates data analytics by FAA  and its stakeholders.
(Recommendation 10) The Administrator of FAA should use data collected as part of IT  modernization as well as current data sources to identify and analyze  patterns of activity indicative of fraud or abuse, based on information from  declarations of international operations, postal addresses, sanctions  listings, and other sources, and information on dealers, noncitizen  corporations, and individuals and entities with significant responsibilities  for aircraft ownership."
814,"These  staff are responsible for carrying out the Working Group’s responsibilities,  which include establishing a common understanding and consistent  approach to compliance; creating a means to share information and ideas  to improve the efficiency and effectiveness of section 961 compliance  activities; discussing best practices to streamline procedures and  documentation of internal control testing and reporting; and developing  and updating guidance related to implementing section 961.
(Recommendation 1) The Director of the Division of Corporation Finance should ensure that all  internal supervisory controls include documentation requirements,  detailed procedures, identified follow-up actions, implementation time  frames, and assignment of control execution responsibility, in accordance  with SEC guidance and federal internal control standards for  implementing control activities through documented policies.
(Recommendation 2) The Director of the Division of Enforcement should ensure that all internal  supervisory controls include documentation requirements, detailed  procedures, identified follow-up actions, implementation time frames, and  assignment of control execution responsibility, in accordance with SEC  guidance and federal internal control standards for implementing control  activities through documented policies.
(Recommendation 3) The Director of the Office of Compliance Inspections and Examinations  should ensure that all internal supervisory controls include documentation  requirements, detailed procedures, identified follow-up actions,  implementation time frames, and assignment of control execution  responsibility, in accordance with SEC guidance and federal internal  control standards for implementing control activities through documented  policies."
815,"FedRAMP Is a  Government-wide  Program for Authorizing  Cloud Services Established by OMB and managed by GSA, the FedRAMP program is  intended to provide a standardized approach to securing systems,  assessing security controls, and continuously monitoring cloud services  used by federal agencies.
The goals of FedRAMP are to: ensure that cloud-based services used by government agencies have  adequate safeguards in place; eliminate the duplication of effort to assess security controls, and  reduce risk management costs; and enable rapid and cost-effective procurement of information  systems/service for federal agencies.
The office’s responsibilities include  managing the program’s day-to-day operations, creating guidance  and templates for agencies and cloud service providers to use for  developing, assessing, authorizing, and continuously monitoring cloud  services per federal requirements (e.g., FISMA).
Selected Agencies Did Not  Consistently Prepare and  Provide Authorization  Letters to the FedRAMP  PMO OMB defines an authorization to operate as an official management  decision where a federal official or officials authorize the operation of  information system(s) and accept the risk to agency operations and  assets, individuals, and other organizations based on the implementation  of security and privacy controls.
To address challenges, GSA has taken steps to  improve the program, but its guidance on FedRAMP’s requirements and  participant’s responsibilities was not always clear and the program’s  process for monitoring the status of security controls over cloud services  was limited.
According to the JAB technical representatives, the FedRAMP  PMO’s program intended improvements include, but are not limited to,  updates to guidance and education resources, plans to automate the  continuous monitoring process with vulnerability scanning tools, and  reduced time and costs associated for completing the authorization  process for both customer agencies and cloud service providers.
(Recommendation 6) The Administrator of GSA should develop guidance requiring that cloud  service authorization letters be provided to the FedRAMP program  management office.
(Recommendation 22) The Administrator of EPA should develop guidance requiring that cloud  service authorization letter be provided to the FedRAMP program  management office.
EPA disagreed with our recommendation that the agency develop  guidance requiring cloud service authorization letters to be provided to  the FedRAMP program management office."
816,"For coal, the royalty rate for surface mining is set at the statutory  minimum set in the Mineral Leasing Act. We previously found that royalty rates for oil and gas leases have not  been adjusted to account for changes in market conditions, and our  preliminary analysis for our ongoing work suggests that adjusting rental  rates for inflation could generate increased federal revenues.
In June 2017, we reported that raising federal royalty rates for onshore  oil, gas, and coal resources could decrease oil and gas production on  federal lands by either a small amount or not at all but could increase  overall federal revenue, according to studies we reviewed and  stakeholders we interviewed.
The two oil and gas studies we reviewed  for that report modeled the effects of different policy scenarios on oil and  gas production on federal lands and estimated that raising the federal  royalty rate could increase net federal revenue from $5 million to $38  million per year."
